Group,Marke,BEV,PHEV,Benzin,Diesel,Andere,Total,BEV-Anteil,Durchschnitt CO2 (g/km)
KG Mobility,SSANGYONG,0,0,3,0,0,3,0.0,201.7
Other / Unknown / Specialty,UEBRIGE (SIEHE TYP),0,18,9,0,0,27,0.0,28.4
Other / Unknown / Specialty,CADILLON,0,0,1,0,0,1,0.0,0.0
Other / Unknown / Specialty,SALMSON,0,0,1,0,0,1,0.0,0.0
Other / Unknown / Specialty,ABT,0,0,1,0,0,1,0.0,0.0
Other / Unknown / Specialty,FORCA,0,0,0,1,0,1,0.0,0.0
Other / Unknown / Specialty,TRIUMPH,0,0,1,0,0,1,0.0,0.0
Morgan Motor Company,MORGAN,0,0,11,0,0,11,0.0,157.0
Mercedes-Benz Group,UNIMOG,0,1,0,0,0,1,0.0,47.0
Stellantis,CHRYSLER,0,1,0,0,0,1,0.0,37.0
SWM Motor,SWM,0,2,0,0,0,2,0.0,25.0
Stellantis,DODGE,0,0,4,0,0,4,0.0,203.2
Tata Group,LAND ROVER,0,402,568,364,0,1334,0.0,149.5
Tata Group,JAGUAR,0,0,1,1,0,2,0.0,116.0
Volkswagen Group,BENTLEY,0,7,85,0,0,92,0.0,153.2
Volkswagen Group,LAMBORGHINI,0,18,135,0,0,153,0.0,217.1
Volkswagen Group,SEAT,0,19,1207,53,0,1279,0.0,124.8
